filename,metadata
normalized_nike_0.jpg,Nike Air Force 1 Low Brown Grey Classic Lifestyle Sneakers
normalized_nike_1.jpg,Nike Air Max Grey Black Classic Lifestyle Sneakers
normalized_nike_10.jpg,Nike Air Force 1 Low Grey Charcoal Low Basketball Sneakers
normalized_nike_11.jpg,Nike Air Max Orange White Low Basketball Shoes
normalized_nike_112.jpg,Nike Dunk Low Purple Green Everyday Streetwear Shoes
normalized_nike_116.jpg,Nike React Runner Navy Grey Everyday Court Shoes
normalized_nike_117.jpg,Nike Air Jordan Grey Red Everyday Athletic Shoes
normalized_nike_118.jpg,Nike Blazer Mid Grey Yellow Everyday Athletic Shoes
normalized_nike_119.jpg,Nike Zoom Grey Brown Low Top Athletic Shoes
normalized_nike_12.jpg,Nike Dunk Low Blue Grey Low Training Shoes
normalized_nike_120.jpg,Nike Air Force 1 Low Grey Charcoal Low Top Lifestyle Shoes
normalized_nike_121.jpg,Nike Air Max Grey Brown Low Top Lifestyle Trainers
normalized_nike_122.jpg,Nike Dunk Low Brown White Low Top Lifestyle Trainers
normalized_nike_123.jpg,Nike Court Vision Low Grey Beige Low Top Casual Trainers
normalized_nike_124.jpg,Nike Pegasus Grey Black Low Top Casual Trainers
normalized_nike_125.jpg,Nike Revolution Grey Red Low Top Casual Trainers
normalized_nike_126.jpg,Nike React Runner Grey Charcoal Athletic Running Trainers
normalized_nike_127.jpg,Nike Air Jordan White Grey Athletic Running Trainers
normalized_nike_128.jpg,Nike Blazer Mid Blue Grey Athletic Running Trainers
normalized_nike_129.jpg,Nike Zoom Green White Athletic Basketball Trainers
normalized_nike_13.jpg,Nike Court Vision Low Grey Brown Low Training Shoes
normalized_nike_130.jpg,Nike Air Force 1 Low Grey Charcoal Athletic Basketball Trainers
normalized_nike_131.jpg,Nike Air Max Navy Charcoal Athletic Basketball Trainers
normalized_nike_132.jpg,Nike Dunk Low Grey Orange Athletic Training Sneakers
normalized_nike_133.jpg,Nike Court Vision Low Charcoal White Comfort Training Sneakers
normalized_nike_134.jpg,Nike Pegasus Grey Pink Comfort Training Sneakers
normalized_nike_135.jpg,Nike Revolution Charcoal Grey Comfort Streetwear Sneakers
normalized_nike_136.jpg,Nike React Runner Grey Charcoal Comfort Streetwear Sneakers
normalized_nike_137.jpg,Nike Air Jordan Black Grey Comfort Streetwear Sneakers
normalized_nike_138.jpg,Nike Blazer Mid Blue White Comfort Court Sneakers
normalized_nike_139.jpg,Nike Zoom Grey Charcoal Comfort Court Sneakers
normalized_nike_14.jpg,Nike Pegasus Grey Red Retro Training Shoes
normalized_nike_140.jpg,Nike Air Force 1 Low Grey Charcoal Classic Court Sneakers
normalized_nike_141.jpg,Nike Air Max Grey Black Classic Athletic Sneakers
normalized_nike_142.jpg,Nike Dunk Low Grey Black Classic Athletic Sneakers
normalized_nike_143.jpg,Nike Court Vision Low Charcoal Grey Classic Athletic Shoes
normalized_nike_144.jpg,Nike Pegasus Grey Charcoal Classic Lifestyle Shoes
normalized_nike_145.jpg,Nike Revolution Grey Green Classic Lifestyle Shoes
normalized_nike_146.jpg,Nike React Runner Grey Brown Classic Lifestyle Shoes
normalized_nike_147.jpg,Nike Air Jordan Red Black Low Casual Shoes
normalized_nike_148.jpg,Nike Blazer Mid Red Black Low Casual Shoes
normalized_nike_149.jpg,Nike Zoom Grey Pink Low Casual Shoes
normalized_nike_15.jpg,Nike Revolution Beige Brown Retro Streetwear Shoes
normalized_nike_150.jpg,Nike Air Force 1 Low Grey Charcoal Low Running Shoes
normalized_nike_151.jpg,Nike Air Max Grey Charcoal Low Running Shoes
normalized_nike_152.jpg,Nike Dunk Low Grey Charcoal Low Running Shoes
normalized_nike_153.jpg,Nike Court Vision Low Grey Black Low Basketball Shoes
normalized_nike_154.jpg,Nike Pegasus Black Charcoal Retro Basketball Trainers
normalized_nike_155.jpg,Nike Revolution Black Grey Retro Basketball Trainers
normalized_nike_156.jpg,Nike React Runner Black Charcoal Retro Training Trainers
normalized_nike_157.jpg,Nike Air Jordan Grey White Retro Training Trainers
normalized_nike_158.jpg,Nike Blazer Mid Grey Red Retro Training Trainers
normalized_nike_159.jpg,Nike Zoom Grey Navy Retro Streetwear Trainers
normalized_nike_16.jpg,Nike React Runner Grey Charcoal Retro Streetwear Shoes
normalized_nike_160.jpg,Nike Air Force 1 Low Grey Charcoal Retro Streetwear Trainers
normalized_nike_161.jpg,Nike Air Max Grey Charcoal Mesh Streetwear Trainers
normalized_nike_162.jpg,Nike Dunk Low Black Charcoal Mesh Court Trainers
normalized_nike_163.jpg,Nike Court Vision Low Red Grey Mesh Court Trainers
